name_cn,calories,protein,fat,carbs,gi,category,diabetes_index,diabetes_friendly
米饭,116,2.6,0.3,25.6,83,谷物类,21.248,0
糙米饭,111,2.6,0.8,23.5,68,谷物类,15.98,0
白面包,265,8.5,3.2,49.8,75,谷物类,37.35,0
全麦面包,247,13.0,3.4,41.0,54,谷物类,22.14,0
燕麦片,389,16.9,6.9,66.3,55,谷物类,36.465,0
玉米,86,3.2,1.2,19.0,54,谷物类,10.26,0
小米粥,46,1.0,0.3,10.0,55,谷物类,5.5,1
馒头,223,6.7,0.6,47.8,85,谷物类,40.629999999999995,0
面条,286,10.0,1.2,58.0,65,谷物类,37.7,0
西红柿,18,0.9,0.2,3.9,15,蔬菜类,0.585,1
黄瓜,16,0.7,0.1,3.6,15,蔬菜类,0.54,1
胡萝卜,36,0.9,0.2,8.4,35,蔬菜类,2.94,1
白菜,12,1.2,0.2,2.2,15,蔬菜类,0.33,1
菠菜,23,2.9,0.4,3.6,15,蔬菜类,0.54,1
土豆,77,2.0,0.1,17.5,65,蔬菜类,11.375,0
茄子,25,1.0,0.2,5.7,20,蔬菜类,1.14,1
青椒,20,0.9,0.2,4.6,15,蔬菜类,0.69,1
冬瓜,14,0.4,0.1,3.1,15,蔬菜类,0.465,1
莴笋,17,0.9,0.2,3.5,15,蔬菜类,0.525,1
芹菜,16,0.7,0.2,3.4,15,蔬菜类,0.51,1
洋葱,40,1.1,0.1,9.3,15,蔬菜类,1.395,1
蒜苗,32,2.3,0.1,6.8,15,蔬菜类,1.02,1
豆芽,30,3.0,0.2,5.9,25,蔬菜类,1.475,1
莲藕,74,1.6,0.1,17.2,50,蔬菜类,8.6,1
苹果,52,0.3,0.2,13.8,38,水果类,5.244,1
香蕉,93,1.1,0.3,22.8,51,水果类,11.628,0
橙子,47,0.9,0.1,11.8,40,水果类,4.72,1
葡萄,69,0.6,0.2,18.1,46,水果类,8.326,1
西瓜,30,0.6,0.2,7.6,72,水果类,5.4719999999999995,1
草莓,32,0.7,0.3,7.7,40,水果类,3.08,1
芒果,60,0.8,0.4,15.0,51,水果类,7.65,1
梨,57,0.4,0.2,15.0,38,水果类,5.7,1
桃子,39,0.9,0.1,10.0,42,水果类,4.2,1
猕猴桃,61,1.1,0.5,14.7,53,水果类,7.7909999999999995,1
柚子,38,0.8,0.1,9.6,25,水果类,2.4,1
樱桃,50,1.0,0.3,12.2,22,水果类,2.6839999999999997,1
